Date,Open,High,Low,Close,Volume
30/10/2024 16:00:00,232.61,233.47,229.55,230.1,47070907
31/10/2024 16:00:00,229.34,229.83,225.37,225.91,64370086
01/11/2024 16:00:00,220.97,225.35,220.27,222.91,65276741
04/11/2024 16:00:00,220.99,222.79,219.71,222.01,44944468
05/11/2024 16:00:00,221.8,223.95,221.14,223.45,28111338
06/11/2024 16:00:00,222.61,226.07,221.19,222.72,54561121
07/11/2024 16:00:00,224.63,227.88,224.57,227.48,42137691
08/11/2024 16:00:00,227.17,228.66,226.41,226.96,38328824
11/11/2024 16:00:00,225,225.7,221.5,224.23,42005602
12/11/2024 16:00:00,224.55,225.59,223.36,224.23,40398299
13/11/2024 16:00:00,224.01,226.65,222.76,225.12,48566217
14/11/2024 16:00:00,225.02,228.87,225,228.22,44923941
15/11/2024 16:00:00,226.4,226.92,224.27,225,47923696
18/11/2024 16:00:00,225.25,229.74,225.17,228.02,44686020
19/11/2024 16:00:00,226.98,230.16,226.66,228.28,36211774
20/11/2024 16:00:00,228.06,229.93,225.89,229,35169566
21/11/2024 16:00:00,228.88,230.16,225.71,228.52,42108327
22/11/2024 16:00:00,228.06,230.72,228.06,229.87,38168252
25/11/2024 16:00:00,231.46,233.25,229.74,232.87,90152832
26/11/2024 16:00:00,233.33,235.57,233.33,235.06,45986189
27/11/2024 16:00:00,234.47,235.69,233.81,234.93,33498439
29/11/2024 13:05:00,234.81,237.81,233.97,237.33,28481377
02/12/2024 16:00:00,237.27,240.79,237.16,239.59,48137103
03/12/2024 16:00:00,239.81,242.76,238.9,242.65,38861017
04/12/2024 16:00:00,242.87,244.11,241.25,243.01,44383935
05/12/2024 16:00:00,243.99,244.54,242.13,243.04,40033878
06/12/2024 16:00:00,242.91,244.63,242.08,242.84,36870619
09/12/2024 16:00:00,241.83,247.24,241.75,246.75,44649232
10/12/2024 16:00:00,246.89,248.21,245.34,247.77,36914806
11/12/2024 16:00:00,247.96,250.8,246.26,246.49,45205814
12/12/2024 16:00:00,246.89,248.74,245.68,247.96,32777532
13/12/2024 16:00:00,247.82,249.29,246.24,248.13,33155290
16/12/2024 16:00:00,247.99,251.38,247.65,251.04,51694753
17/12/2024 16:00:00,250.08,253.83,249.78,253.48,51356360
18/12/2024 16:00:00,252.16,254.28,247.74,248.05,56774101
19/12/2024 16:00:00,247.5,252,247.09,249.79,60882264
20/12/2024 16:00:00,248.04,255,245.69,254.49,147495267
23/12/2024 16:00:00,254.77,255.65,253.45,255.27,40858774
24/12/2024 13:05:00,255.49,258.21,255.29,258.2,23234705
26/12/2024 16:00:00,258.19,260.1,257.63,259.02,27262983
27/12/2024 16:00:00,257.83,258.7,253.06,255.59,42355321
30/12/2024 16:00:00,252.23,253.5,250.75,252.2,35557542
31/12/2024 16:00:00,252.44,253.28,249.43,250.42,39480718
02/01/2025 16:00:00,248.93,249.1,241.82,243.85,55740731
03/01/2025 16:00:00,243.36,244.18,241.89,243.36,40244114
06/01/2025 16:00:00,244.31,247.33,243.2,245,45045571
07/01/2025 16:00:00,242.98,245.55,241.35,242.21,40855960
08/01/2025 16:00:00,241.92,243.71,240.05,242.7,37628940
10/01/2025 16:00:00,240.01,240.16,233,236.85,61710856
